id,address,at_street,description,latitude,longitude,municipality,name,on_street
"7193",,"Raymond Avenue",,"42.5791","-70.887558","Beverly","Dodge St opp Raymond Ave","Dodge Street"
"node-pktrm-westfare-paid",,,"Park Street - Paid side of fare gates",,,"Boston","Park Street",
"14551",,"Willson Street",,"42.509123","-70.910976","Salem","Highland Ave @ Willson St","Highland Avenue"
"8169",,"Crafts Street",,"42.356766","-71.206749","Newton","Watertown St @ Crafts St","Watertown Street"
"node-714-platform",,,"Orient Heights - Bottom of Elevator 714","42.386783","-71.004738","Boston","Orient Heights",
"place-eliot","248 Lincoln St, Newton, MA 02461",,,"42.319045","-71.216684","Newton","Eliot",
"door-bmmnl-main",,,"Beachmont - Winthrop Ave","42.397551","-70.992358","Revere","Beachmont - Winthrop Ave",
"6629",,"Valley Road",,"42.424188","-70.921327","Nahant","Willow Rd @ Valley Rd","Willow Road"
"7502",,"Appleton Street",,"42.470434","-71.013455","Saugus","Summer St @ Appleton St","Summer Street"
"2126",,"Willow Street",,"42.37974","-71.17284","Belmont","Trapelo Rd @ Willow St","Trapelo Road"
"Boat-Lewis","65 Lewis St, Boston, MA 02128",,"Lewis Mall Wharf - East Boston Ferry","42.365867","-71.041958","Boston","Lewis Mall Wharf",
"82048",,"Jaconnet Street",,"42.312026","-71.212953","Newton","Needham St @ Jaconnet St","Needham Street"
"2258",,"Central Street",,"42.41619","-71.156708","Arlington","Massachusetts Ave @ Academy St","Massachusetts Avenue"
"4329",,"Greenview Street",,"42.255697","-71.031604","Quincy","Adams St @ Greenview St","Adams Street"
"11501",,"Virginia Street",,"42.317585","-71.066499","Boston","Dudley St @ Virginia St","Dudley Street"
"70256",,,"Riverway - Green Line - Park Street & North","42.331871","-71.111961","Boston","Riverway",
"3392",,"Granite Place",,"42.257513","-71.037727","Milton","Adams St @ Foster Ln","Adams Street"
"node-pktrm-concourse",,,"Park Street - Park Street end of Winter Street Concourse",,,"Boston","Park Street",
"node-masta-852-platform",,,"Massachusetts Avenue - Bottom of Elevator 852","42.341345","-71.083634","Boston","Massachusetts Avenue",
"place-DB-2240","210 Talbot Ave, Boston, MA 02124",,,"42.292246","-71.07814","Boston","Talbot Avenue",
"node-alfcl-pick",,,"Alewife - Pick-up/Drop-off","42.39563","-71.141923","Cambridge","Alewife",
"7922",,"Massachusetts Avenue",,"42.424903","-71.184975","Arlington","Arlington Heights Busway","Busway"
"4935",,"Walnut Street",,"42.527273","-70.927319","Peabody","Central St opp Walnut St","Central Street"
"12465",,"Appleton Street",,"42.417136","-71.199535","Arlington","Wadsworth Rd @ Appleton St","Wadsworth Rd"
"4207",,"Columbine Road",,"42.264321","-71.078297","Milton","Central Ave @ Columbine Rd","Central Avenue"
"4404",,,,"42.258447","-71.081447","Milton","Brook Rd @ Central Ave","Brook Road"
"4086",,"Peterson Road",,"42.211463","-71.019635","Braintree","Granite St opp Peterson Rd","Granite Street"
"1398",,,,"42.340883","-71.071385","Boston","W Dedham St @ Washington St","West Dedham Street"
"node-jaksn-133-lobby",,,"Jackson Square - Top of Escalator 133",,,"Boston","Jackson Square",
"6112",,"Forest Avenue",,"42.506809","-70.891112","Salem","Lafayette St @ Forest Ave","Lafayette Street"
"1272",,"Euston Road",,"42.344633","-71.144682","Boston","Washington St @ Euston St","Washington Street"
"node-441-platform",,,"Orient Heights - Bottom of Escalator 441","42.386743","-71.004934","Boston","Orient Heights",
"91",,"Clearway Street",,"42.345331","-71.086739","Boston","Massachusetts Ave @ Clearway St","Massachusetts Avenue"
"8954",,,,"42.248731","-71.138966","Boston","Turtle Pond Pkwy opp Bajko Rink","Turtle Pond Parkway"
"node-350-bottom",,,"Alewife - Bottom of Escalator 350 from Russell Field lobby to Red Line platform","42.396155","-71.140072","Cambridge","Alewife",
"node-longw-pramp-platform",,,"Longwood - Bottom of platform ramp for Emerald Necklace","42.341463","-71.110097","Brookline","Longwood",
"place-FS-0049","Gillette Stadium near Lots 3 and 4, Foxborough, MA 02035",,,"42.0951","-71.26151","Foxborough","Foxboro",
"WML-0214-02",,,"Framingham - Commuter Rail - Track 2","42.276108","-71.420055","Framingham","Framingham",
"node-north-valentiexitw-fareunpaid",,,"North Station - Unpaid side of fare gates","42.36497","-71.059898","Boston","North Station",
"4858",,"Rockaway Avenue",,"42.485943","-70.885311","Marblehead","Humphrey St @ Tufts St","Humphrey Street"
"7805",,,,"42.362267","-71.200814","Newton","78 Chapel St","Chapel Street"
"56641",,"Princeton Street",,"42.380994","-71.026413","Boston","E Eagle St @ Chelsea St","Eagle Square"
"600",,"Granfield Avenue",,"42.290289","-71.124116","Boston","Washington St opp Granfield Ave","Washington Street"
"3784",,"School Street",,"42.245262","-71.000078","Quincy","Quincy Ave @ School St","Quincy Avenue"
"17153",,"Derby Street",,"42.520842","-70.890086","Salem","Hawthorne Blvd @ Derby St","Hawthorne Boulevard"
"6315",,"Madison Street",,"42.422941","-71.134416","Medford","Playstead Rd opp Madison St","Playstead Road"
"883",,"Richmond Street",,"42.273982","-71.067662","Boston","Dorchester Ave @ Richmond St","Dorchester Avenue"
