id,label,bearing,current_stop_sequence,direction_id,longitude,latitude,speed,updated_at,current_status,route_id,stop_id
"G-10042","3646-3817","315","240","0","-71.13712","42.34845","4.8","2025-05-01T19:45:30-04:00","STOPPED_AT","","","Green-B","70127"
"G-10243","3640-3876","135","160","1","-71.10533","42.34983","4.0","2025-05-01T19:45:50-04:00","INCOMING_AT","","","Green-B","70146"
"R-5482D21A","1868","85","None","0","-71.14054","42.39621","None","2025-05-01T19:43:42-04:00","IN_TRANSIT_TO","","","Red",""
"1866","1866","None","50","0","-71.15387725830078","42.16362762451172","3.6","2025-05-01T19:45:36-04:00","IN_TRANSIT_TO","","","CR-Providence","NEC-2139-01"
"G-10307","3881-3683","315","460","1","-71.11173","42.33126","5.2","2025-05-01T19:46:09-04:00","INCOMING_AT","","","Green-E","70256"
"G-10393","3829-3653","315","570","0","-71.24469","42.33359","4.1","2025-05-01T19:45:12-04:00","IN_TRANSIT_TO","","","Green-D","70161"
"y3004","3004","250","11","0","-70.97386872","42.38271452","None","2025-05-01T19:46:10-04:00","IN_TRANSIT_TO","","","712","109875"
"y1750","1750","237","19","1","-71.06362406","42.31827591","None","2025-05-01T19:46:11-04:00","IN_TRANSIT_TO","","","16","2934"
"y1885","1885","121","2","1","-71.107582249","42.300991089","None","2025-05-01T19:46:11-04:00","STOPPED_AT","","","16","520"
"O-5482D620","1500","210","190","0","-71.11239","42.30331","None","2025-05-01T19:45:59-04:00","INCOMING_AT","","","Orange","70001"
"y3145","3145","298","3","0","-71.12496579","42.37896113","None","2025-05-01T19:46:08-04:00","STOPPED_AT","","","78","2172"
"y0836","0836","333","19","1","-71.04223078","42.16388041","None","2025-05-01T19:46:09-04:00","IN_TRANSIT_TO","","","240","4249"
"G-10296","3644-3800","315","630","1","-71.05996","42.36494","None","2025-05-01T19:45:07-04:00","INCOMING_AT","","","Green-E","70205"
"y1604","1604","187","19","0","-71.124389339","42.254130559","None","2025-05-01T19:46:12-04:00","IN_TRANSIT_TO","","","32","2818"
"O-5482D66D","1402","200","20","0","-71.07574","42.42322","None","2025-05-01T19:45:52-04:00","IN_TRANSIT_TO","","","Orange","70032"
"G-10218","3804-3601","135","20","0","-71.0604","42.36543","None","2025-05-01T19:46:05-04:00","STOPPED_AT","","","Green-E","70206"
"1856","1856","None","80","1","-71.15727233886719","42.233734130859375","None","2025-05-01T19:45:38-04:00","STOPPED_AT","","","CR-Franklin","FB-0109-02"
"y3249","3249","135","1","1","-71.23788","42.27311","None","2025-05-01T19:46:04-04:00","STOPPED_AT","","","59","91852"
"y1616","1616","187","9","0","-71.119677679","42.276267089","None","2025-05-01T19:46:11-04:00","STOPPED_AT","","","32","6498"
"y1965","1965","278","18","0","-71.15685291","42.36280707","None","2025-05-01T19:46:10-04:00","IN_TRANSIT_TO","","","70","1445"
"G-10009","3673-3887","225","340","0","-71.11382","42.34418","3.8","2025-05-01T19:45:07-04:00","STOPPED_AT","","","Green-C","70215"
"G-10064","3649-3882","225","370","0","-71.12499","42.34128","7.5","2025-05-01T19:46:08-04:00","INCOMING_AT","","","Green-C","70223"
